email,"website (root url)",city,state,profession,phone,country
syndicates@quarrycapital.co.nz,http://www.quarrycapital.co.nz,Christchurch,"New Zealand","Property Investment","+64 3-345 8880","New Zealand"
property@propellorchina.com,http://www.propellorproperties.co.nz,Christchurch,"New Zealand","Property Investment","+64 3-375 9014","New Zealand"
enquiry@areteproperty.co.nz,http://www.areteproperty.co.nz,Christchurch,"New Zealand","Property Investment","+64 800 568 568","New Zealand"
content_library.global.email.info@asiswhereis.co.nz,https://asiswhereis.co.nz,Christchurch,"New Zealand","Property Investment","+64 21 497 119","New Zealand"
20info@privatepropertyclub.co.nz,https://privatepropertyclub.co.nz,Christchurch,"New Zealand","Property Investment","+64 9-869 8022","New Zealand"
contact@handsomegroup.co.nz,http://www.handsomegroup.co.nz,Christchurch,"New Zealand","Property Investment","+64 21 207 6368","New Zealand"
info@propertytaxreturns.co.nz,http://www.propertytaxreturns.co.nz,Napier,"New Zealand","Property Investment","+64 6-650 0916","New Zealand"
info@briangreenproperty.co.nz,http://www.briangreenproperty.co.nz,"Palmerston North","New Zealand","Property Investment","+64 6-354 2664","New Zealand"
tim.raateland@tinline.co.nz,http://www.tinline.co.nz,Nelson,"New Zealand","Property Investment","+64 3-548 0175","New Zealand"
info@gibbons.co.nz,https://www.gibbons.co.nz,Nelson,"New Zealand","Property Investment","+64 3-548 3039","New Zealand"
queenstown@colliers.com,http://www.colliersotago.co.nz,Dunedin,"New Zealand","Property Investment","+64 3-474 0571","New Zealand"
hello@wanakapropertymanagement.co.nz,http://wanakapropertymanagement.co.nz,Dunedin,"New Zealand","Property Investment","+64 210 276 6390","New Zealand"
info@oakwoodproperties.co.nz,http://www.oakwoodproperties.co.nz,Dunedin,"New Zealand","Property Investment","+64 3-479 2140","New Zealand"
info@telferyoung.com,http://www.telferyoung.com,Dunedin,"New Zealand","Property Investment","+64 3-477 5796","New Zealand"
care@yellow.co.nz,https://yellow.co.nz,"New Plymouth","New Zealand","Property Investment","+64 6-758 2744","New Zealand"
enquiries@tgh.co.nz,http://www.tgh.co.nz,Hamilton,"New Zealand","Property Investment","+64 7-834 4880","New Zealand"
theresa@willisbond.co.nz,http://www.willisbond.co.nz,Wellington,"New Zealand","Property Investment","+64 4-805 0000","New Zealand"
maintenance@twc.co.nz,http://www.thewellingtoncompany.co.nz,Wellington,"New Zealand","Property Investment","+64 4-802 4291","New Zealand"
office@sutherlandselfhelptrust.org.nz,http://sutherlandselfhelptrust.org.nz,Wellington,"New Zealand","Property Investment","+64 4-385 1563","New Zealand"
dhiraj.chhabra@mikepero.co.nz,http://www.mikepero.co.nz,"Lower Hutt","New Zealand","Property Investment","+64 27 666 3560","New Zealand"
info@ibs-property.de,https://www.barton-group.de,Wellington,"New Zealand","Property Investment","+64 210 694 233","New Zealand"
claire@maxam.co.nz,http://www.maxam.co.nz,"Lower Hutt","New Zealand","Property Investment","+64 4-570 3310","New Zealand"
britta@servanteconsulting.nz,https://servanteconsulting.nz,"Lower Hutt","New Zealand","Property Investment","+64 21 783 123","New Zealand"
peter@cityliving.co.nz,http://www.cityliving.co.nz,"Lower Hutt","New Zealand","Property Investment","+64 4-570 3319","New Zealand"
technical@flightdec.com,http://avenuehomesnz.com,Wellington,"New Zealand","Property Investment","+64 21 225 5753","New Zealand"
